id,title,status
3,Arcane,yet to watch
4,Pupa,yet to watch
5,Gate,yet to watch
6,Good night world,yet to watch
7,Sword of the demon hunter,yet to watch
8,Yona of the dawn,yet to watch
9,Kingdoms of ruin,yet to watch
10,Log horizon,yet to watch
11,My happy marriage,yet to watch
12,Tir,yet to watch
13,Goblin slayer,yet to watch
14,Dorohedero,yet to watch
15,Dead mount death play,yet to watch
16,Handyman saito in another world,yet to watch
18,Maboroshi,yet to watch
19,Nier automata,yet to watch
20,Goodnight world,yet to watch
21,The legend of legendary heroes,yet to watch
22,My neighbour seiki,yet to watch
23,Alice in borderland,yet to watch
24,My home hero,yet to watch
25,Blood c,yet to watch
26,Rurouni Kenshin,completed
27,Dark gathering,yet to watch
28,Rainbow,yet to watch
29,The dangers in my heart,completed
30,Kiznaiver,yet to watch
31,Deranged detective,yet to watch
32,Akuma drive,yet to watch
33,Reincarnation of the unemployed,yet to watch
34,Cyberpunk edgerunners,yet to watch
35,spare me great lord,yet to watch
36,blades of the guardian,yet to watch
37,soul eater,yet to watch
38,k project,yet to watch
39,boarding school juliet,yet to watch
40,devils line,yet to watch
41,undefeated bahamut chronicle,yet to watch
42,love after world domination,yet to watch
43,qualidea code,yet to watch
44,Tsukimichi moon lit fantasy,yet to watch
45,komi can't communicate,yet to watch
46,takt op Destiny,yet to watch
47,cyclops shoujo saipuu,yet to watch
48,summer ghost,yet to watch
49,alice and Theresa's illusion factory,yet to watch
50,the outcast,yet to watch
51,My Isekai Life,yet to watch
52,Nisekoi False Love,yet to watch
53,Oresuki,yet to watch
54,grisaia,yet to watch
55,hachiman our lord and saviour,yet to watch
56,high rise invasion,yet to watch
57,god eater,yet to watch
58,blast of tempest,yet to watch
59,remake our life,yet to watch
60,your lie in april,yet to watch
61,weathering with you,yet to watch
62,seirei gensouki:spirit chronicles,yet to watch
63,tenki no ko,yet to watch
64,great pretender,yet to watch
65,josee the tiger and the fish,yet to watch
66,A Certain Scientific Railgun,yet to watch
67,a certain magical index,yet to watch
68,Ao Haru Ride(blue spring ride),yet to watch
69,noblesse,yet to watch
70,Ikebukuro West Gate Park,yet to watch
71,gleipnir,completed
72,kimi ni todOke,yet to watch
73,to your eternity,yet to watch
74,Oreshura,yet to watch
75,Chain chronical,yet to watch
76,Higehiro,yet to watch
77,Grand blue dreaming,yet to watch
78,Your name,completed
79,Bunny girl senpai,completed
80,masamune kun's revenge,completed
81,another,completed
82,dont toy with me nagatora san,completed
83,record of Ragnarok,completed
84,Ninja kamui,completed
85,Pluto,completed
86,The witch and the beast,completed
87,Arifureta,completed
88,Darling in the franxx,completed
89,Undead unluck,completed
90,Solo leveling,completed
91,Fairy Tail,completed
92,Medaka box,completed
93,A returners magic should be special,completed
94,Psycho pass,completed
95,Fate strange fake,completed
96,Overlord,completed
97,World's end harem,completed
98,Ragna crimson,completed
99,Steins gate 0,completed
100,Zom 100,completed
101,Devilman crybaby,completed
102,Kaiju no 8,completed
103,Black lagoon,completed
104,Oshi no ko,completed
105,Kochikame,completed
106,Hell's paradise,completed
107,I'm quitting heroing,completed
108,Kill la kill,completed
109,No game no life,completed
110,The eminance in shadow,completed
111,In/spectre,completed
112,School days,completed
113,Transformers: Animated,completed
114,Nande Koko ni sensei,completed
115,Eminance in shadow,completed
116,tomadochi game,completed
117,Baki,completed
118,Future diary,completed
119,love of kill,completed
120,the greatest demon lord is born as a typical nobody,completed
121,would you even love a pervert even though she's a hottie,completed
122,the strongest mage with the weakest crest,completed
123,the genius princes guide to raise a empire out of debt,completed
124,Transformers Prime,completed
125,parasyte,completed
126,beyblade metal fusion,completed
127,beyblade metal fury,completed
128,beyblade metal masters,completed
129,beyblade g force,completed
130,fire force,completed
131,scums wish,completed
132,golden time,completed
133,Blue lock,completed
134,I got a cheat skill in another world,completed
135,worlds finest assasin,completed
136,Pokemon The Series: XYZ,completed
137,snow white with the white hair,completed
138,chivalry of the failed knight,completed
139,fuuka,completed
140,my wife is the student council president,completed
141,drifters,completed
142,Kabaneri of the Iron Fortress,completed
143,talentless nana,completed
144,teasing master takagi san,completed
145,made in abyss,completed
146,dororo,completed
147,my senpai is annoying,completed
148,86,completed
149,backflip,completed
150,ao chan can't study,completed
151,beyond the boundary,completed
152,black butler,completed
153,taboo tatoo,completed
154,girl beyond the wasteland,completed
155,how many kg dumbbell can you lift,completed
156,tada never falls in love,completed
157,daily lives of high school boys,completed
158,miss Kobayashi dragon maid,completed
159,ahiro no sora,completed
160,love of kill,completed
161,fantasy of grimgar and ash,completed
162,uzaki chan,completed
163,kaguya sama love is war,completed
164,horimiya,completed
165,clean freak ayoma kun,completed
166,tokyo revengers,completed
167,aho girl,completed
168,konosuba,completed
169,link click,completed
170,the devil is part timer,completed
171,vivy(wit studio),completed
172,love me love me not,completed
173,big order,completed
174,ssss dynazenon,completed
175,dumbbell nan kilo,completed
176,RE:zero,completed
177,scarlet nexus,completed
178,Naruto Shippuden,completed
179,Naruto,completed
180,erased,completed
181,a whisker away,completed
182,the idhun chronicles,completed
183,kanojo okarimashu,completed
184,code geass,completed
185,akame ga kill,completed
186,inuyashiki,completed
187,"girlfriend, girlfriend",completed
188,"Love, Chunibyo & Other Delusions",completed
189,hello world,completed
190,hinamatsuri,completed
191,wise man grandchild,completed
192,mushoku tensei,completed
193,monster,completed
194,Redo Of healer,completed
195,horimiya,completed
196,Haikyu,completed
197,vinland saga,completed
198,the promised Neverland,completed
199,my deepest secrets,completed
200,Blood Blockade Battlefront,completed
201,bungo stray dogs,completed
202,irregular at magic school,completed
203,assasination classroom,completed
204,highschool of the dead,completed
205,steins gate,completed
206,Death parade,completed
207,Akashic Records of Bastard Magic,completed
208,Bisou shojo machiavellianism,completed
209,domestic girlfriend,completed
210,Battle in 5 seconds,completed
211,Citrus,completed
212,Kakegurai,completed
213,Violet evergarden,completed
214,Plunderer,completed
215,karakuri circus,completed
216,Oregairu,completed
217,Misfit of demon king academy,completed
218,Daily life of the immortal king,completed
219,Hyouka,completed
220,Hunter x hunter,completed
221,Koe no katachi,completed
222,prison school,completed
223,jujusu kaisen(S1),completed
224,bleach,completed
225,aki sora,completed
226,rent a girlfriend,completed
227,Fate Zero,completed
228,Classroom of elite,completed
229,Rascal doesn't dream of bunny girl senpai,completed
230,chainsaw man,completed
231,Parasyte,completed
232,The rising of the shield hero,completed
233,Tokyo ghoul,completed
234,Attack on Titan   ( yet to be released)winter 2022,completed
235,Death note,completed
236,Black clover,completed
237,My hero academia,completed
238,Charlotte,completed
239,Demon slayer,completed
240,Assassination classroom,completed
241,noragami,completed
242,fruits basket,completed
243,angels of death',completed
244,to love ru,completed
245,mob psycho,completed
246,Aharen Is Indecipherable,completed
247,Fullmetal alchemist brotherhood,completed
248,The god of high school,completed
249,fate stay night,completed
250,gun gale online,completed
251,huumatsu no harem(world's end harem),completed
252,Shikimori is not just a cutie,completed
253,Call of the night,completed
254,Fate apocrypha,completed
255,Fate grand order,completed
256,Fate last encore,completed
257,Sword art online,completed
258,(Making of) Evangelion: Another Impact,yet to watch
259,Unwanted Undead Adventurer,yet to watch
260,Lazrous,yet to watch
261,Katsugeki/Touken Ranbu,yet to watch
262,Why Does Nobody Remember Me in This World?,yet to watch
263,Wonder Egg Priority,yet to watch
264,Handyman Saitou in Another World,yet to watch
265,The Wizard's Night,yet to watch
266,Nura: Rise of the Yokai Clan,yet to watch
267,Ishura,yet to watch
268,Witch On the Holy Night (Fate Series),yet to watch
269,Burn the Witch,yet to watch
270,Akudama Drive,yet to watch
271,The Fruit of Grisaia,yet to watch
272,Magi: Adventure of Sinbad,yet to watch
273,Moriarty the Patriot,yet to watch
274,Rage of Bahamut,yet to watch
275,UQ Holder,yet to watch
276,I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,yet to watch
277,"You're Being Summoned, Azazel",yet to watch
278,Suzume,yet to watch
279,Blue Giant,yet to watch
280,Failure Frame,yet to watch
281,The Wrong Way to Use Healing Magic,yet to watch
282,Alice to Therese no Maboroshi Koujou,yet to watch
283,Dandadan,yet to watch
284,Viral Hit,yet to watch
285,Non-Human Academy,yet to watch
286,Gate,yet to watch
287,The Dangers in my Heart,completed
288,Golden kamuy,yet to watch
289,Angel beats,yet to watch
290,Yona of the dawn,yet to watch
291,Dr stone,completed
292,Neon genesis Evangelion,completed
293,Frieren: Beyond Journey's End,completed
294,Edens zero,completed
295,Full-Time Magister,yet to watch
296,Wistoria: Wand and Sword,yet to watch
297,Dragon Raja,yet to watch
298,Chained Soldier,yet to watch
299,Heroic Age,yet to watch
300,Please Teacher!,yet to watch
301,Peach Boy Riverside,yet to watch
302,Lord of the Mysteries,yet to watch
303,Black Bullet,yet to watch
304,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,yet to watch
305,Twin Star Exorcists,yet to watch
306,Gurren Lagann,yet to watch
307,To The Abandoned Sacred Beasts,yet to watch
308,Rooster Fighter,yet to watch
309,Deadman Wonderland,yet to watch
310,Our Last Crusade or the Rise of a New World,yet to watch
311,Demon Rush,yet to watch
312,First Squad,yet to watch
313,ChroNoiR Episode.0,yet to watch
314,Kokoro Connect,yet to watch
315,Super Cube,yet to watch
316,Higurashi When They Cry,yet to watch
317,Hitori no Shita: The Outcast,yet to watch
318,Astra Lost in Space,yet to watch
319,Summer Time Rendering,yet to watch
320,The Grimm Variations,yet to watch
321,Black Summoner,yet to watch
322,Rakshasa Street,yet to watch
323,Go! Go! Loser Ranger!,yet to watch
324,Corpse Party: Tortured Souls,yet to watch
325,Infinite Dendrogram,yet to watch
326,Terror in Resonance,yet to watch
327,Jormungand,yet to watch
328,Baccano,yet to watch
329,Kings game,yet to watch
330,Pokemon: Diamond And Pearl,completed
331,Pokemon: Indigo League,completed
332,Pokemon: To Be A Pokemon Master,completed
333,Pokemon DP: Sinnoh League Victors,completed
334,Pokemon The Series: XY,completed
335,Pokemon The Series: Sun And Moon,completed
336,Pokemon: Battle Frontier,completed
337,Pokemon: Advanced Battle,completed
339,Pokemon: The Johto Journeys,completed
340,Pokemon BW Adventures In Unova And Beyond,completed
341,Pokemon Chronicles,completed
342,Pokemon: DP Battle Dimension,completed
343,Muv Luv Alternative,completed
344,Arknights,yet to watch